	id	type	available	role	mfr	hw	sw	serial	driver	chassisId	lastUpdate	humanReadableLastUpdate	annotations
0	of:000000000000000c	SWITCH	True	MASTER	Nicira, Inc.	Open vSwitch	2.17.9	None	ovs	c	1742925271142	connected 16h15m ago	{'channelId': '10.10.10.96:48566', 'datapathDescription': 's12', 'managementAddress': '10.10.10.96', 'protocol': 'OF_14'}
1	of:000000000000000d	SWITCH	True	MASTER	Nicira, Inc.	Open vSwitch	2.17.9	None	ovs	d	1742925271195	connected 16h15m ago	{'channelId': '10.10.10.96:48524', 'datapathDescription': 's13', 'managementAddress': '10.10.10.96', 'protocol': 'OF_14'}
2	of:000000000000000a	SWITCH	True	MASTER	Nicira, Inc.	Open vSwitch	2.17.9	None	ovs	a	1742925271098	connected 16h15m ago	{'channelId': '10.10.10.96:48474', 'datapathDescription': 's10', 'managementAddress': '10.10.10.96', 'protocol': 'OF_14'}
3	of:000000000000000b	SWITCH	True	MASTER	Nicira, Inc.	Open vSwitch	2.17.9	None	ovs	b	1742925271259	connected 16h15m ago	{'channelId': '10.10.10.96:48628', 'datapathDescription': 's11', 'managementAddress': '10.10.10.96', 'protocol': 'OF_14'}
4	of:000000000000000e	SWITCH	True	MASTER	Nicira, Inc.	Open vSwitch	2.17.9	None	ovs	e	1742925271177	connected 16h15m ago	{'channelId': '10.10.10.96:48480', 'datapathDescription': 's14', 'managementAddress': '10.10.10.96', 'protocol': 'OF_14'}
5	of:000000000000000f	SWITCH	True	MASTER	Nicira, Inc.	Open vSwitch	2.17.9	None	ovs	f	1742925271112	connected 16h15m ago	{'channelId': '10.10.10.96:48498', 'datapathDescription': 's15', 'managementAddress': '10.10.10.96', 'protocol': 'OF_14'}
6	of:0000000000000010	SWITCH	True	MASTER	Nicira, Inc.	Open vSwitch	2.17.9	None	ovs	10	1742925271540	connected 16h15m ago	{'channelId': '10.10.10.96:48770', 'datapathDescription': 's16', 'managementAddress': '10.10.10.96', 'protocol': 'OF_14'}
7	of:0000000000000011	SWITCH	True	MASTER	Nicira, Inc.	Open vSwitch	2.17.9	None	ovs	11	1742925271543	connected 16h15m ago	{'channelId': '10.10.10.96:48746', 'datapathDescription': 's17', 'managementAddress': '10.10.10.96', 'protocol': 'OF_14'}
8	of:0000000000000014	SWITCH	True	MASTER	Nicira, Inc.	Open vSwitch	2.17.9	None	ovs	14	1742925271553	connected 16h15m ago	{'channelId': '10.10.10.96:48734', 'datapathDescription': 's20', 'managementAddress': '10.10.10.96', 'protocol': 'OF_14'}
9	of:0000000000000015	SWITCH	True	MASTER	Nicira, Inc.	Open vSwitch	2.17.9	None	ovs	15	1742925271557	connected 16h15m ago	{'channelId': '10.10.10.96:48788', 'datapathDescription': 's21', 'managementAddress': '10.10.10.96', 'protocol': 'OF_14'}
