	port	packetsReceived	packetsSent	bytesReceived	bytesSent	packetsRxDropped	packetsTxDropped	packetsRxErrors	packetsTxErrors	durationSec	device
0	1	55153	39604	6021737	5406624	0	0	0	0	58541	of:000000000000000c
1	2	895	54502	57870	6013920	0	0	0	0	58541	of:000000000000000c
2	3	960	54532	60476	6015188	0	0	0	0	58541	of:000000000000000c
3	1	55135	39544	6021024	5404028	0	0	0	0	58541	of:000000000000000d
4	2	888	54492	57576	6013500	0	0	0	0	58541	of:000000000000000d
5	3	904	54515	58248	6014494	0	0	0	0	58541	of:000000000000000d
6	1	56012	40449	6075974	5460182	0	0	0	0	58541	of:000000000000000a
7	2	927	54713	59214	6022810	0	0	0	0	58541	of:000000000000000a
8	3	907	54695	58402	6022054	0	0	0	0	58541	of:000000000000000a
9	4	929	54716	59326	6022908	0	0	0	0	58541	of:000000000000000a
10	1	55356	39634	6030278	5407808	0	0	0	0	58541	of:000000000000000b
11	2	907	54692	58374	6021900	0	0	0	0	58541	of:000000000000000b
12	3	979	54721	61274	6023078	0	0	0	0	58541	of:000000000000000b
13	1	54491	38692	5975384	5349652	0	0	0	0	58541	of:000000000000000e
14	2	890	54494	57660	6013584	0	0	0	0	58541	of:000000000000000e
15	1	55734	40429	6064436	5459342	0	0	0	0	58541	of:000000000000000f
16	2	893	54461	57786	6012142	0	0	0	0	58541	of:000000000000000f
17	3	971	54499	60938	6013698	0	0	0	0	58541	of:000000000000000f
18	4	889	54469	57618	6012478	0	0	0	0	58541	of:000000000000000f
19	1	54485	38722	5975242	5350960	0	0	0	0	58541	of:0000000000000010
20	2	919	54487	58878	6013234	0	0	0	0	58541	of:0000000000000010
21	1	55119	39612	6020540	5406932	0	0	0	0	58541	of:0000000000000011
22	2	895	54464	57870	6012296	0	0	0	0	58541	of:0000000000000011
23	3	967	54494	60770	6013460	0	0	0	0	58541	of:0000000000000011
24	1	54319	38712	5968076	5350492	0	0	0	0	58541	of:0000000000000014
25	2	910	54324	58500	6006416	0	0	0	0	58541	of:0000000000000014
26	1	62622	40526	6355076	5463612	0	0	0	0	58541	of:0000000000000015
27	2	918	54562	59788	6017364	0	0	0	0	58541	of:0000000000000015
28	3	1007	61360	62714	6303244	0	0	0	0	58541	of:0000000000000015
29	4	949	54579	60138	6017154	0	0	0	0	58541	of:0000000000000015
30	1	54312	38710	5967782	5350343	0	0	0	0	58541	of:0000000000000012
31	2	909	54316	58458	6006052	0	0	0	0	58541	of:0000000000000012
32	1	55622	40479	6059538	5461377	0	0	0	0	58541	of:0000000000000013
33	2	922	54335	59004	6006850	0	0	0	0	58541	of:0000000000000013
34	3	901	54315	58122	6006038	0	0	0	0	58541	of:0000000000000013
35	4	980	54348	61316	6007384	0	0	0	0	58541	of:0000000000000013
36	1	55967	40503	6149870	5462450	0	0	0	0	58541	of:0000000000000018
37	2	898	54637	57996	6019618	0	0	0	0	58541	of:0000000000000018
38	3	1003	54705	62406	6022446	0	0	0	0	58541	of:0000000000000018
39	4	936	54678	59592	6021340	0	0	0	0	58541	of:0000000000000018
40	1	55975	40507	6150141	5462646	0	0	0	0	58541	of:0000000000000019
41	2	903	54640	58234	6019716	0	0	0	0	58541	of:0000000000000019
42	3	999	54706	62266	6022488	0	0	0	0	58541	of:0000000000000019
43	4	940	54681	59760	6021438	0	0	0	0	58541	of:0000000000000019
44	1	55923	46854	6072850	5729444	0	0	0	0	58541	of:0000000000000016
45	2	920	55173	58920	6041906	0	0	0	0	58541	of:0000000000000016
46	3	7327	54646	328490	6020164	0	0	0	0	58541	of:0000000000000016
47	4	943	55182	59886	6042284	0	0	0	0	58541	of:0000000000000016
48	1	56006	40552	6075964	5464471	0	0	0	0	58541	of:0000000000000017
49	2	938	54676	59676	6021092	0	0	0	0	58541	of:0000000000000017
50	3	993	54695	61986	6022026	0	0	0	0	58541	of:0000000000000017
