	switch_id	port	host_id	host_names	0	1	2
0	of:0000000000000001	6	00:00:00:00:00:2E/None	d26	192.168.26.20	192.168.26.14	192.168.26.17
1	of:0000000000000002	7	00:00:00:00:00:2D/None	d25	192.168.26.18	192.168.26.24	192.168.26.26
2	of:0000000000000003	7	00:00:00:00:00:2C/None	d24	192.168.26.11	192.168.26.22	192.168.26.15
3	of:0000000000000004	6	00:00:00:00:00:2B/None	d23	192.168.26.28	192.168.26.19	192.168.26.27
4	of:0000000000000009	2	00:00:00:00:00:34/None	m1	192.168.28.157	192.168.29.49	192.168.28.12
5	of:000000000000000a	2	00:00:00:00:00:35/None	m2	192.168.28.238	192.168.28.160	192.168.28.162
6	of:000000000000000a	4	00:00:00:00:00:29/None	d21			
7	of:000000000000000a	3	00:00:00:00:00:31/None	e3	192.168.27.55	192.168.27.105	192.168.27.117
8	of:000000000000000b	2	00:00:00:00:00:36/None	m3	192.168.28.27	192.168.28.193	192.168.29.20
9	of:000000000000000b	3	00:00:00:00:00:53/None	v2	192.168.29.62	192.168.28.161	192.168.28.22
10	of:000000000000000c	3	00:00:00:00:00:52/None	v1	192.168.28.37	192.168.28.114	192.168.28.206
11	of:000000000000000c	2	00:00:00:00:00:37/None	m4	192.168.28.145	192.168.28.134	192.168.29.112
12	of:000000000000000d	2	00:00:00:00:00:38/None	m5	192.168.28.158	192.168.29.56	192.168.29.70
13	of:000000000000000d	3	00:00:00:00:00:33/None	e5	192.168.27.20	192.168.27.44	192.168.27.96
14	of:000000000000000e	2	00:00:00:00:00:39/None	q1	192.168.29.38	192.168.28.155	192.168.28.118
15	of:000000000000000f	3	00:00:00:00:00:54/None	v3	192.168.29.5	192.168.29.126	192.168.28.227
16	of:000000000000000f	2	00:00:00:00:00:3A/None	q2	192.168.29.21	192.168.28.24	192.168.28.112
17	of:000000000000000f	4	00:00:00:00:00:2A/None	d22			
18	of:0000000000000010	2	00:00:00:00:00:3B/None	q3	192.168.29.110	192.168.28.247	192.168.29.25
19	of:0000000000000011	2	00:00:00:00:00:3C/None	q4	192.168.29.118	192.168.28.228	192.168.29.113
20	of:0000000000000011	3	00:00:00:00:00:55/None	v4	192.168.28.174	192.168.29.1	192.168.29.50
21	of:0000000000000012	2	00:00:00:00:00:3D/None	q5	192.168.28.97	192.168.29.68	192.168.28.20
22	of:0000000000000013	3	00:00:00:00:00:32/None	e4	192.168.27.82	192.168.27.21	192.168.27.17
23	of:0000000000000013	4	00:00:00:00:00:56/None	v5	192.168.29.97	192.168.28.222	192.168.28.10
24	of:0000000000000013	2	00:00:00:00:00:2F/None	e1	192.168.27.36	192.168.27.32	192.168.27.118
25	of:0000000000000014	2	00:00:00:00:00:30/None	e2	192.168.27.94	192.168.27.104	192.168.27.12
26	of:0000000000000015	3	00:00:00:00:00:01/None	b1	192.168.16.12	192.168.16.43	192.168.16.121
27	of:0000000000000015	2	00:00:00:00:00:3E/None	r1	192.168.16.52	192.168.16.86	192.168.16.51
28	of:0000000000000015	4	00:00:00:00:00:15/None	d1	192.168.16.87	192.168.16.93	192.168.16.112
29	of:0000000000000016	2	00:00:00:00:00:3F/None	r2	192.168.16.140	192.168.16.141	192.168.16.151
30	of:0000000000000016	4	00:00:00:00:00:16/None	d2	192.168.16.207	192.168.16.229	192.168.16.250
31	of:0000000000000016	3	00:00:00:00:00:02/None	b2	192.168.16.245	192.168.16.166	192.168.16.158
32	of:0000000000000017	3	00:00:00:00:00:03/None	b3	192.168.17.46	192.168.17.65	192.168.17.14
33	of:0000000000000017	2	00:00:00:00:00:40/None	r3	192.168.17.55	192.168.17.85	192.168.17.16
34	of:0000000000000017	4	00:00:00:00:00:17/None	d3	192.168.17.111	192.168.17.21	192.168.17.24
35	of:0000000000000018	2	00:00:00:00:00:41/None	r4	192.168.17.166	192.168.17.203	192.168.17.207
36	of:0000000000000018	3	00:00:00:00:00:04/None	b4	192.168.17.177	192.168.17.215	192.168.17.212
37	of:0000000000000018	4	00:00:00:00:00:18/None	d4	192.168.17.200	192.168.17.164	192.168.17.198
38	of:0000000000000019	3	00:00:00:00:00:05/None	b5	192.168.18.106	192.168.18.113	192.168.18.92
39	of:0000000000000019	4	00:00:00:00:00:19/None	d5	192.168.18.54	192.168.18.30	192.168.18.29
40	of:0000000000000019	2	00:00:00:00:00:42/None	r5	192.168.18.80	192.168.18.42	192.168.18.50
41	of:000000000000001a	2	00:00:00:00:00:43/None	r6	192.168.18.160	192.168.18.202	192.168.18.201
42	of:000000000000001a	3	00:00:00:00:00:06/None	b6	192.168.18.174	192.168.18.189	192.168.18.178
43	of:000000000000001a	4	00:00:00:00:00:1A/None	d6	192.168.18.221	192.168.18.167	192.168.18.184
44	of:000000000000001b	2	00:00:00:00:00:44/None	r7	192.168.19.63	192.168.19.10	192.168.19.105
45	of:000000000000001b	4	00:00:00:00:00:1B/None	d7	192.168.19.16	192.168.19.62	192.168.19.17
46	of:000000000000001b	3	00:00:00:00:00:07/None	b7	192.168.19.92	192.168.19.52	192.168.19.100
47	of:000000000000001c	3	00:00:00:00:00:08/None	b8	192.168.19.191	192.168.19.145	192.168.19.229
48	of:000000000000001c	2	00:00:00:00:00:45/None	r8	192.168.19.146	192.168.19.240	192.168.19.235
49	of:000000000000001c	4	00:00:00:00:00:1C/None	d8	192.168.19.184	192.168.19.159	192.168.19.253
50	of:000000000000001d	4	00:00:00:00:00:1D/None	d9	192.168.20.44	192.168.20.101	192.168.20.18
51	of:000000000000001d	2	00:00:00:00:00:46/None	r9	192.168.20.71	192.168.20.17	192.168.20.69
52	of:000000000000001d	3	00:00:00:00:00:09/None	b9	192.168.20.34	192.168.20.77	192.168.20.31
53	of:000000000000001e	3	00:00:00:00:00:0A/None	d10	192.168.20.211	192.168.20.194	192.168.20.215
54	of:000000000000001e	2	00:00:00:00:00:47/None	r10	192.168.20.235	192.168.20.240	192.168.20.214
55	of:000000000000001e	4	00:00:00:00:00:1E/None	b10	192.168.20.149	192.168.20.236	192.168.20.243
56	of:000000000000001f	3	00:00:00:00:00:0B/None	d11	192.168.21.72	192.168.21.120	192.168.21.15
57	of:000000000000001f	4	00:00:00:00:00:1F/None	r11	192.168.21.26	192.168.21.39	192.168.21.51
58	of:000000000000001f	2	00:00:00:00:00:48/None	b11	192.168.21.76	192.168.21.113	192.168.21.108
59	of:0000000000000020	2	00:00:00:00:00:49/None	r12	192.168.21.213	192.168.21.144	192.168.21.211
60	of:0000000000000020	4	00:00:00:00:00:20/None	d12	192.168.21.186	192.168.21.149	192.168.21.236
61	of:0000000000000020	3	00:00:00:00:00:0C/None	b12	192.168.21.163	192.168.21.168	192.168.21.148
62	of:0000000000000021	4	00:00:00:00:00:21/None	d13	192.168.22.115	192.168.22.80	192.168.22.45
63	of:0000000000000021	3	00:00:00:00:00:0D/None	b13	192.168.22.11	192.168.22.106	192.168.22.89
64	of:0000000000000021	2	00:00:00:00:00:4A/None	r13	192.168.22.34	192.168.22.12	192.168.22.99
65	of:0000000000000022	2	00:00:00:00:00:4B/None	r14	192.168.22.241	192.168.22.244	192.168.22.193
66	of:0000000000000022	4	00:00:00:00:00:22/None	d14	192.168.22.160	192.168.22.171	192.168.22.181
67	of:0000000000000022	3	00:00:00:00:00:0E/None	b14	192.168.22.185	192.168.22.250	192.168.22.213
68	of:0000000000000023	3	00:00:00:00:00:0F/None	b15	192.168.23.64	192.168.23.93	192.168.23.109
69	of:0000000000000023	4	00:00:00:00:00:23/None	d15	192.168.23.69	192.168.23.81	192.168.23.63
70	of:0000000000000023	2	00:00:00:00:00:4C/None	r15	192.168.23.113	192.168.23.115	192.168.23.34
71	of:0000000000000024	4	00:00:00:00:00:24/None	d16	192.168.23.148	192.168.23.235	192.168.23.185
72	of:0000000000000024	3	00:00:00:00:00:10/None	b16	192.168.23.192	192.168.23.165	192.168.23.160
73	of:0000000000000024	2	00:00:00:00:00:4D/None	r16	192.168.23.253	192.168.23.143	192.168.23.147
74	of:0000000000000025	3	00:00:00:00:00:11/None	r17	192.168.24.49	192.168.24.111	192.168.24.22
75	of:0000000000000025	4	00:00:00:00:00:25/None	d17	192.168.24.29	192.168.24.73	192.168.24.61
76	of:0000000000000025	2	00:00:00:00:00:4E/None	b17	192.168.24.50	192.168.24.43	192.168.24.113
77	of:0000000000000026	2	00:00:00:00:00:4F/None	r18	192.168.24.202	192.168.24.172	192.168.24.148
78	of:0000000000000026	4	00:00:00:00:00:26/None	d18	192.168.24.252	192.168.24.204	192.168.24.245
79	of:0000000000000026	3	00:00:00:00:00:12/None	b18	192.168.24.201	192.168.24.224	192.168.24.178
80	of:0000000000000027	2	00:00:00:00:00:50/None	r19	192.168.25.78	192.168.25.92	192.168.25.26
81	of:0000000000000027	3	00:00:00:00:00:13/None	b19	192.168.25.89	192.168.25.87	192.168.25.32
82	of:0000000000000027	4	00:00:00:00:00:27/None	d19	192.168.25.108	192.168.25.74	192.168.25.83
83	of:0000000000000028	3	00:00:00:00:00:14/None	b20	192.168.25.158	192.168.25.253	192.168.25.216
84	of:0000000000000028	2	00:00:00:00:00:51/None	r20	192.168.25.145	192.168.25.190	192.168.25.146
85	of:0000000000000028	4	00:00:00:00:00:28/None	d20	192.168.25.152	192.168.25.251	192.168.25.147
