switch_id	port	host_id	host_names
of:0000000000000001	6	00:00:00:00:00:2E/None	d26
of:0000000000000002	7	00:00:00:00:00:2D/None	d25
of:0000000000000003	7	00:00:00:00:00:2C/None	d24
of:0000000000000004	6	00:00:00:00:00:2B/None	d23
of:0000000000000009	2	00:00:00:00:00:34/None	m1
of:000000000000000a	2	00:00:00:00:00:35/None	m2
of:000000000000000a	4	00:00:00:00:00:29/None	d21
of:000000000000000a	3	00:00:00:00:00:31/None	e3
of:000000000000000b	2	00:00:00:00:00:36/None	m3
of:000000000000000b	3	00:00:00:00:00:53/None	v2
of:000000000000000c	3	00:00:00:00:00:52/None	v1
of:000000000000000c	2	00:00:00:00:00:37/None	m4
of:000000000000000d	2	00:00:00:00:00:38/None	m5
of:000000000000000d	3	00:00:00:00:00:33/None	e5
of:000000000000000e	2	00:00:00:00:00:39/None	q1
of:000000000000000f	3	00:00:00:00:00:54/None	v3
of:000000000000000f	2	00:00:00:00:00:3A/None	q2
of:000000000000000f	4	00:00:00:00:00:2A/None	d22
of:0000000000000010	2	00:00:00:00:00:3B/None	q3
of:0000000000000011	2	00:00:00:00:00:3C/None	q4
of:0000000000000011	3	00:00:00:00:00:55/None	v4
of:0000000000000012	2	00:00:00:00:00:3D/None	q5
of:0000000000000013	3	00:00:00:00:00:32/None	e4
of:0000000000000013	4	00:00:00:00:00:56/None	v5
of:0000000000000013	2	00:00:00:00:00:2F/None	e1
of:0000000000000014	2	00:00:00:00:00:30/None	e2
of:0000000000000015	3	00:00:00:00:00:01/None	b1
of:0000000000000015	2	00:00:00:00:00:3E/None	r1
of:0000000000000015	4	00:00:00:00:00:15/None	d1
of:0000000000000016	2	00:00:00:00:00:3F/None	r2
of:0000000000000016	4	00:00:00:00:00:16/None	d2
of:0000000000000016	3	00:00:00:00:00:02/None	b2
of:0000000000000017	3	00:00:00:00:00:03/None	b3
of:0000000000000017	2	00:00:00:00:00:40/None	r3
of:0000000000000017	4	00:00:00:00:00:17/None	d3
of:0000000000000018	2	00:00:00:00:00:41/None	r4
of:0000000000000018	3	00:00:00:00:00:04/None	b4
of:0000000000000018	4	00:00:00:00:00:18/None	d4
of:0000000000000019	3	00:00:00:00:00:05/None	b5
of:0000000000000019	4	00:00:00:00:00:19/None	d5
of:0000000000000019	2	00:00:00:00:00:42/None	r5
of:000000000000001a	2	00:00:00:00:00:43/None	r6
of:000000000000001a	3	00:00:00:00:00:06/None	b6
of:000000000000001a	4	00:00:00:00:00:1A/None	d6
of:000000000000001b	2	00:00:00:00:00:44/None	r7
of:000000000000001b	4	00:00:00:00:00:1B/None	d7
of:000000000000001b	3	00:00:00:00:00:07/None	b7
of:000000000000001c	3	00:00:00:00:00:08/None	b8
of:000000000000001c	2	00:00:00:00:00:45/None	r8
of:000000000000001c	4	00:00:00:00:00:1C/None	d8
of:000000000000001d	4	00:00:00:00:00:1D/None	d9
of:000000000000001d	2	00:00:00:00:00:46/None	r9
of:000000000000001d	3	00:00:00:00:00:09/None	b9
of:000000000000001e	3	00:00:00:00:00:0A/None	d10
of:000000000000001e	2	00:00:00:00:00:47/None	r10
of:000000000000001e	4	00:00:00:00:00:1E/None	b10
of:000000000000001f	3	00:00:00:00:00:0B/None	d11
of:000000000000001f	4	00:00:00:00:00:1F/None	r11
of:000000000000001f	2	00:00:00:00:00:48/None	b11
of:0000000000000020	2	00:00:00:00:00:49/None	r12
of:0000000000000020	4	00:00:00:00:00:20/None	d12
of:0000000000000020	3	00:00:00:00:00:0C/None	b12
of:0000000000000021	4	00:00:00:00:00:21/None	d13
of:0000000000000021	3	00:00:00:00:00:0D/None	b13
of:0000000000000021	2	00:00:00:00:00:4A/None	r13
of:0000000000000022	2	00:00:00:00:00:4B/None	r14
of:0000000000000022	4	00:00:00:00:00:22/None	d14
of:0000000000000022	3	00:00:00:00:00:0E/None	b14
of:0000000000000023	3	00:00:00:00:00:0F/None	b15
of:0000000000000023	4	00:00:00:00:00:23/None	d15
of:0000000000000023	2	00:00:00:00:00:4C/None	r15
of:0000000000000024	4	00:00:00:00:00:24/None	d16
of:0000000000000024	3	00:00:00:00:00:10/None	b16
of:0000000000000024	2	00:00:00:00:00:4D/None	r16
of:0000000000000025	3	00:00:00:00:00:11/None	r17
of:0000000000000025	4	00:00:00:00:00:25/None	d17
of:0000000000000025	2	00:00:00:00:00:4E/None	b17
of:0000000000000026	2	00:00:00:00:00:4F/None	r18
of:0000000000000026	4	00:00:00:00:00:26/None	d18
of:0000000000000026	3	00:00:00:00:00:12/None	b18
of:0000000000000027	2	00:00:00:00:00:50/None	r19
of:0000000000000027	3	00:00:00:00:00:13/None	b19
of:0000000000000027	4	00:00:00:00:00:27/None	d19
of:0000000000000028	3	00:00:00:00:00:14/None	b20
of:0000000000000028	2	00:00:00:00:00:51/None	r20
of:0000000000000028	4	00:00:00:00:00:28/None	d20
