id	mac	vlan	innerVlan	outerTpid	configured	suspended	ipAddresses	locations
00:00:00:00:00:38/None	00:00:00:00:00:38	None	None	0x0000	False	False	['10.0.0.56']	[{'elementId': 'of:000000000000000d', 'port': '2'}]
00:00:00:00:00:2D/None	00:00:00:00:00:2D	None	None	0x0000	False	False	['10.0.0.45']	[{'elementId': 'of:0000000000000002', 'port': '7'}]
00:00:00:00:00:21/None	00:00:00:00:00:21	None	None	0x0000	False	False	['10.0.0.33']	[{'elementId': 'of:0000000000000021', 'port': '4'}]
00:00:00:00:00:51/None	00:00:00:00:00:51	None	None	0x0000	False	False	['10.0.0.81']	[{'elementId': 'of:0000000000000028', 'port': '2'}]
00:00:00:00:00:23/None	00:00:00:00:00:23	None	None	0x0000	False	False	['10.0.0.35']	[{'elementId': 'of:0000000000000023', 'port': '4'}]
00:00:00:00:00:36/None	00:00:00:00:00:36	None	None	0x0000	False	False	['10.0.0.54']	[{'elementId': 'of:000000000000000b', 'port': '2'}]
00:00:00:00:00:4A/None	00:00:00:00:00:4A	None	None	0x0000	False	False	['10.0.0.74']	[{'elementId': 'of:0000000000000021', 'port': '2'}]
00:00:00:00:00:06/None	00:00:00:00:00:06	None	None	0x0000	False	False	['10.0.0.6']	[{'elementId': 'of:000000000000001a', 'port': '3'}]
00:00:00:00:00:53/None	00:00:00:00:00:53	None	None	0x0000	False	False	['10.0.0.83']	[{'elementId': 'of:000000000000000b', 'port': '3'}]
00:00:00:00:00:1C/None	00:00:00:00:00:1C	None	None	0x0000	False	False	['10.0.0.28']	[{'elementId': 'of:000000000000001c', 'port': '4'}]
00:00:00:00:00:4C/None	00:00:00:00:00:4C	None	None	0x0000	False	False	['10.0.0.76']	[{'elementId': 'of:0000000000000023', 'port': '2'}]
00:00:00:00:00:04/None	00:00:00:00:00:04	None	None	0x0000	False	False	['10.0.0.4']	[{'elementId': 'of:0000000000000018', 'port': '3'}]
00:00:00:00:00:34/None	00:00:00:00:00:34	None	None	0x0000	False	False	['10.0.0.52']	[{'elementId': 'of:0000000000000009', 'port': '2'}]
00:00:00:00:00:32/None	00:00:00:00:00:32	None	None	0x0000	False	False	['10.0.0.50']	[{'elementId': 'of:0000000000000013', 'port': '3'}]
00:00:00:00:00:4E/None	00:00:00:00:00:4E	None	None	0x0000	False	False	['10.0.0.78']	[{'elementId': 'of:0000000000000025', 'port': '2'}]
00:00:00:00:00:49/None	00:00:00:00:00:49	None	None	0x0000	False	False	['10.0.0.73']	[{'elementId': 'of:0000000000000020', 'port': '2'}]
00:00:00:00:00:1A/None	00:00:00:00:00:1A	None	None	0x0000	False	False	['10.0.0.26']	[{'elementId': 'of:000000000000001a', 'port': '4'}]
00:00:00:00:00:17/None	00:00:00:00:00:17	None	None	0x0000	False	False	['10.0.0.23']	[{'elementId': 'of:0000000000000017', 'port': '4'}]
00:00:00:00:00:47/None	00:00:00:00:00:47	None	None	0x0000	False	False	['10.0.0.71']	[{'elementId': 'of:000000000000001e', 'port': '2'}]
00:00:00:00:00:2F/None	00:00:00:00:00:2F	None	None	0x0000	False	False	['10.0.0.47']	[{'elementId': 'of:0000000000000013', 'port': '2'}]
00:00:00:00:00:02/None	00:00:00:00:00:02	None	None	0x0000	False	False	['10.0.0.2']	[{'elementId': 'of:0000000000000016', 'port': '3'}]
00:00:00:00:00:15/None	00:00:00:00:00:15	None	None	0x0000	False	False	['10.0.0.21']	[{'elementId': 'of:0000000000000015', 'port': '4'}]
00:00:00:00:00:46/None	00:00:00:00:00:46	None	None	0x0000	False	False	['10.0.0.70']	[{'elementId': 'of:000000000000001d', 'port': '2'}]
00:00:00:00:00:29/None	00:00:00:00:00:29	None	None	0x0000	False	False	['10.0.0.41']	[{'elementId': 'of:000000000000000a', 'port': '4'}]
00:00:00:00:00:13/None	00:00:00:00:00:13	None	None	0x0000	False	False	['10.0.0.19']	[{'elementId': 'of:0000000000000027', 'port': '3'}]
00:00:00:00:00:4F/None	00:00:00:00:00:4F	None	None	0x0000	False	False	['10.0.0.79']	[{'elementId': 'of:0000000000000026', 'port': '2'}]
00:00:00:00:00:44/None	00:00:00:00:00:44	None	None	0x0000	False	False	['10.0.0.68']	[{'elementId': 'of:000000000000001b', 'port': '2'}]
00:00:00:00:00:30/None	00:00:00:00:00:30	None	None	0x0000	False	False	['10.0.0.48']	[{'elementId': 'of:0000000000000014', 'port': '2'}]
00:00:00:00:00:0A/None	00:00:00:00:00:0A	None	None	0x0000	False	False	['10.0.0.10']	[{'elementId': 'of:000000000000001e', 'port': '3'}]
00:00:00:00:00:1E/None	00:00:00:00:00:1E	None	None	0x0000	False	False	['10.0.0.30']	[{'elementId': 'of:000000000000001e', 'port': '4'}]
00:00:00:00:00:3B/None	00:00:00:00:00:3B	None	None	0x0000	False	False	['10.0.0.59']	[{'elementId': 'of:0000000000000010', 'port': '2'}]
00:00:00:00:00:3F/None	00:00:00:00:00:3F	None	None	0x0000	False	False	['10.0.0.63']	[{'elementId': 'of:0000000000000016', 'port': '2'}]
00:00:00:00:00:11/None	00:00:00:00:00:11	None	None	0x0000	False	False	['10.0.0.17']	[{'elementId': 'of:0000000000000025', 'port': '3'}]
00:00:00:00:00:27/None	00:00:00:00:00:27	None	None	0x0000	False	False	['10.0.0.39']	[{'elementId': 'of:0000000000000027', 'port': '4'}]
00:00:00:00:00:0E/None	00:00:00:00:00:0E	None	None	0x0000	False	False	['10.0.0.14']	[{'elementId': 'of:0000000000000022', 'port': '3'}]
00:00:00:00:00:40/None	00:00:00:00:00:40	None	None	0x0000	False	False	['10.0.0.64']	[{'elementId': 'of:0000000000000017', 'port': '2'}]
00:00:00:00:00:2B/None	00:00:00:00:00:2B	None	None	0x0000	False	False	['10.0.0.43']	[{'elementId': 'of:0000000000000004', 'port': '6'}]
00:00:00:00:00:3D/None	00:00:00:00:00:3D	None	None	0x0000	False	False	['10.0.0.61']	[{'elementId': 'of:0000000000000012', 'port': '2'}]
00:00:00:00:00:0C/None	00:00:00:00:00:0C	None	None	0x0000	False	False	['10.0.0.12']	[{'elementId': 'of:0000000000000020', 'port': '3'}]
00:00:00:00:00:42/None	00:00:00:00:00:42	None	None	0x0000	False	False	['10.0.0.66']	[{'elementId': 'of:0000000000000019', 'port': '2'}]
00:00:00:00:00:25/None	00:00:00:00:00:25	None	None	0x0000	False	False	['10.0.0.37']	[{'elementId': 'of:0000000000000025', 'port': '4'}]
00:00:00:00:00:39/None	00:00:00:00:00:39	None	None	0x0000	False	False	['10.0.0.57']	[{'elementId': 'of:000000000000000e', 'port': '2'}]
00:00:00:00:00:08/None	00:00:00:00:00:08	None	None	0x0000	False	False	['10.0.0.8']	[{'elementId': 'of:000000000000001c', 'port': '3'}]
00:00:00:00:00:56/None	00:00:00:00:00:56	None	None	0x0000	False	False	['10.0.0.86']	[{'elementId': 'of:0000000000000013', 'port': '4'}]
00:00:00:00:00:22/None	00:00:00:00:00:22	None	None	0x0000	False	False	['10.0.0.34']	[{'elementId': 'of:0000000000000022', 'port': '4'}]
00:00:00:00:00:52/None	00:00:00:00:00:52	None	None	0x0000	False	False	['10.0.0.82']	[{'elementId': 'of:000000000000000c', 'port': '3'}]
00:00:00:00:00:07/None	00:00:00:00:00:07	None	None	0x0000	False	False	['10.0.0.7']	[{'elementId': 'of:000000000000001b', 'port': '3'}]
00:00:00:00:00:09/None	00:00:00:00:00:09	None	None	0x0000	False	False	['10.0.0.9']	[{'elementId': 'of:000000000000001d', 'port': '3'}]
00:00:00:00:00:2E/None	00:00:00:00:00:2E	None	None	0x0000	False	False	['10.0.0.46']	[{'elementId': 'of:0000000000000001', 'port': '6'}]
00:00:00:00:00:2C/None	00:00:00:00:00:2C	None	None	0x0000	False	False	['10.0.0.44']	[{'elementId': 'of:0000000000000003', 'port': '7'}]
00:00:00:00:00:54/None	00:00:00:00:00:54	None	None	0x0000	False	False	['10.0.0.84']	[{'elementId': 'of:000000000000000f', 'port': '3'}]
00:00:00:00:00:37/None	00:00:00:00:00:37	None	None	0x0000	False	False	['10.0.0.55']	[{'elementId': 'of:000000000000000c', 'port': '2'}]
00:00:00:00:00:05/None	00:00:00:00:00:05	None	None	0x0000	False	False	['10.0.0.5']	[{'elementId': 'of:0000000000000019', 'port': '3'}]
00:00:00:00:00:03/None	00:00:00:00:00:03	None	None	0x0000	False	False	['10.0.0.3']	[{'elementId': 'of:0000000000000017', 'port': '3'}]
00:00:00:00:00:4D/None	00:00:00:00:00:4D	None	None	0x0000	False	False	['10.0.0.77']	[{'elementId': 'of:0000000000000024', 'port': '2'}]
00:00:00:00:00:35/None	00:00:00:00:00:35	None	None	0x0000	False	False	['10.0.0.53']	[{'elementId': 'of:000000000000000a', 'port': '2'}]
00:00:00:00:00:4B/None	00:00:00:00:00:4B	None	None	0x0000	False	False	['10.0.0.75']	[{'elementId': 'of:0000000000000022', 'port': '2'}]
