switch_id	port	host_id
of:0000000000000001	6	00:00:00:00:00:2E/None
of:0000000000000002	7	00:00:00:00:00:2D/None
of:0000000000000003	7	00:00:00:00:00:2C/None
of:0000000000000004	6	00:00:00:00:00:2B/None
of:0000000000000009	2	00:00:00:00:00:34/None
of:000000000000000a	2	00:00:00:00:00:35/None
of:000000000000000a	4	00:00:00:00:00:29/None
of:000000000000000a	3	00:00:00:00:00:31/None
of:000000000000000b	2	00:00:00:00:00:36/None
of:000000000000000b	3	00:00:00:00:00:53/None
of:000000000000000c	3	00:00:00:00:00:52/None
of:000000000000000c	2	00:00:00:00:00:37/None
of:000000000000000d	2	00:00:00:00:00:38/None
of:000000000000000d	3	00:00:00:00:00:33/None
of:000000000000000e	2	00:00:00:00:00:39/None
of:000000000000000f	3	00:00:00:00:00:54/None
of:000000000000000f	2	00:00:00:00:00:3A/None
of:000000000000000f	4	00:00:00:00:00:2A/None
of:0000000000000010	2	00:00:00:00:00:3B/None
of:0000000000000011	2	00:00:00:00:00:3C/None
of:0000000000000011	3	00:00:00:00:00:55/None
of:0000000000000012	2	00:00:00:00:00:3D/None
of:0000000000000013	3	00:00:00:00:00:32/None
of:0000000000000013	4	00:00:00:00:00:56/None
of:0000000000000013	2	00:00:00:00:00:2F/None
of:0000000000000014	2	00:00:00:00:00:30/None
of:0000000000000015	3	00:00:00:00:00:01/None
of:0000000000000015	2	00:00:00:00:00:3E/None
of:0000000000000015	4	00:00:00:00:00:15/None
of:0000000000000016	2	00:00:00:00:00:3F/None
of:0000000000000016	4	00:00:00:00:00:16/None
of:0000000000000016	3	00:00:00:00:00:02/None
of:0000000000000017	3	00:00:00:00:00:03/None
of:0000000000000017	2	00:00:00:00:00:40/None
of:0000000000000017	4	00:00:00:00:00:17/None
of:0000000000000018	2	00:00:00:00:00:41/None
of:0000000000000018	3	00:00:00:00:00:04/None
of:0000000000000018	4	00:00:00:00:00:18/None
of:0000000000000019	3	00:00:00:00:00:05/None
of:0000000000000019	4	00:00:00:00:00:19/None
of:0000000000000019	2	00:00:00:00:00:42/None
of:000000000000001a	2	00:00:00:00:00:43/None
of:000000000000001a	3	00:00:00:00:00:06/None
of:000000000000001a	4	00:00:00:00:00:1A/None
of:000000000000001b	2	00:00:00:00:00:44/None
of:000000000000001b	4	00:00:00:00:00:1B/None
of:000000000000001b	3	00:00:00:00:00:07/None
of:000000000000001c	3	00:00:00:00:00:08/None
of:000000000000001c	2	00:00:00:00:00:45/None
of:000000000000001c	4	00:00:00:00:00:1C/None
of:000000000000001d	4	00:00:00:00:00:1D/None
of:000000000000001d	2	00:00:00:00:00:46/None
of:000000000000001d	3	00:00:00:00:00:09/None
of:000000000000001e	3	00:00:00:00:00:0A/None
of:000000000000001e	2	00:00:00:00:00:47/None
of:000000000000001e	4	00:00:00:00:00:1E/None
of:000000000000001f	3	00:00:00:00:00:0B/None
of:000000000000001f	4	00:00:00:00:00:1F/None
of:000000000000001f	2	00:00:00:00:00:48/None
of:0000000000000020	2	00:00:00:00:00:49/None
of:0000000000000020	4	00:00:00:00:00:20/None
of:0000000000000020	3	00:00:00:00:00:0C/None
of:0000000000000021	4	00:00:00:00:00:21/None
of:0000000000000021	3	00:00:00:00:00:0D/None
of:0000000000000021	2	00:00:00:00:00:4A/None
of:0000000000000022	2	00:00:00:00:00:4B/None
of:0000000000000022	4	00:00:00:00:00:22/None
of:0000000000000022	3	00:00:00:00:00:0E/None
of:0000000000000023	3	00:00:00:00:00:0F/None
of:0000000000000023	4	00:00:00:00:00:23/None
of:0000000000000023	2	00:00:00:00:00:4C/None
of:0000000000000024	4	00:00:00:00:00:24/None
of:0000000000000024	3	00:00:00:00:00:10/None
of:0000000000000024	2	00:00:00:00:00:4D/None
of:0000000000000025	3	00:00:00:00:00:11/None
of:0000000000000025	4	00:00:00:00:00:25/None
of:0000000000000025	2	00:00:00:00:00:4E/None
of:0000000000000026	2	00:00:00:00:00:4F/None
of:0000000000000026	4	00:00:00:00:00:26/None
of:0000000000000026	3	00:00:00:00:00:12/None
of:0000000000000027	2	00:00:00:00:00:50/None
of:0000000000000027	3	00:00:00:00:00:13/None
of:0000000000000027	4	00:00:00:00:00:27/None
of:0000000000000028	3	00:00:00:00:00:14/None
of:0000000000000028	2	00:00:00:00:00:51/None
of:0000000000000028	4	00:00:00:00:00:28/None
